baselineWT_1	24hrsWT_1	30hrsWT_1	40hrsWT_1	48hrsWT_1	96hrsWT_1	7daysWT_1	4wksWT_1
ENSMUSG00000001054	5.57059	6.73339333333333	6.505775	6.42388666666667	7.2801	5.43199333333333	7.32764333333333	6.78580333333333
ENSMUSG00000001056	16.3888	21.6036666666667	25.4994	34.6066333333333	29.0571	24.1024333333333	19.1368333333333	20.2941333333333
ENSMUSG00000001076	0	0.0645251333333333	0.3662205	0.172030433333333	0.0696575	0.0682669333333333	0.208716433333333	0.0940856666666667
ENSMUSG00000001082	4.31591	3.40232666666667	3.26028	3.21073333333333	3.99258	1.794143	3.48268333333333	1.80258333333333
ENSMUSG00000001089	1.64723	2.09172666666667	1.68184	2.2423	2.027685	1.58826666666667	1.69712666666667	1.59231333333333
ENSMUSG00000001095	1.126247	0.0399836	0.0601144	0.0849424666666667	0.0641467	0.476456333333333	0.510958666666667	1.53051366666667
ENSMUSG00000001098	3.69139	5.24828333333333	4.60407	5.42293666666667	5.89664	3.08377333333333	3.69972666666667	4.02547
ENSMUSG00000001100	40.3210333333333	41.1473	43.426	44.6375	40.0179	29.3286	39.5470333333333	39.8269333333333
ENSMUSG00000001103	0.199314	1.160317	0.860602	0.679213333333333	1.1415695	0.251777	0.582277666666667	0.461301666666667
ENSMUSG00000001105	47.4935333333333	47.9285	49.30505	41.1272	44.05175	65.6424	46.705	45.2001666666667
ENSMUSG00000001119	1.16407666666667	2.13778333333333	1.61531	2.49237666666667	2.30484	0.841957333333333	0.954976	1.097987
ENSMUSG00000001120	0.265618333333333	0.377764666666667	0.8825955	0.905317666666667	0.6464835	0.0860298666666667	0.277985333333333	0.441326333333333
ENSMUSG00000001123	261.687333333333	329.581	246.835	189.609666666667	187.9975	209.010666666667	300.709	351.061666666667
ENSMUSG00000001127	25.3961	21.6322	22.5028	22.0287333333333	23.2547	16.5834	25.6373333333333	23.7396666666667
